gene_symbol,chromosome,start,species
MUC16,19,8848845,human
MED16,19,890984,human
R3HDM4,19,902561,human
OR1M1,19,9093179,human
OR7G2,19,9100407,human
OR7G1,19,9114828,human
OR7G3,19,9126012,human
ZNF317,19,9158072,human
KISS1R,19,917503,human
OR7D2,19,9185594,human
OR7D4,19,9213850,human
OR7E24,19,9250930,human
ZNF699,19,9295310,human
ARID3A,19,932565,human
ZNF559,19,9339256,human
ZNF559-ZNF177,19,9363013,human
ZNF177,19,9378269,human
ZNF266,19,9412628,human
ZNF560,19,9466355,human
ZNF426,19,9529618,human
ZNF121,19,9566660,human
ZNF561,19,9617162,human
ZNF562,19,9659463,human
ZNF846,19,9759873,human
FBXL12,19,9818154,human
UBL5,19,9827915,human
PIN1,19,9838599,human
OLFM2,19,9854551,human
WDR18,19,991134,human
COL5A3,19,9959561,human
AFF3,2,100104402,human
LONRF2,2,100283542,human
CHST10,2,100406576,human
KLF11,2,10044245,human
NMS,2,100470482,human
CYS1,2,10056473,human
PDCL3,2,100568955,human
NPAS2,2,100982254,human
RPL31,2,101002739,human
TBC1D8,2,101007228,human
CNOT11,2,101264975,human
RNF149,2,101275601,human
RRM2,2,10129099,human
CREG2,2,101345550,human
RFX8,2,101421698,human
MAP4K4,2,101855977,human
IL1R2,2,102008515,human
IL1R1,2,102164774,human
IL1RL2,2,102187314,human
IL1RL1,2,102337288,human
IL18R1,2,102362661,human
IL18RAP,2,102423160,human
SLC9A4,2,102473226,human
SLC9A2,2,102619553,human
MFSD9,2,102726918,human
TMEM182,2,102762599,human
HPCAL1,2,10420021,human
ODC1,2,10444544,human
POU3F3,2,104854115,human
MRPS9,2,105089018,human
GPR45,2,105241743,human
TGFBRAP1,2,105264391,human
C2ORF49,2,105337532,human
FHL2,2,105360828,human
NOL10,2,10570768,human
NCK2,2,105745063,human
ECRG4,2,106065800,human
UXS1,2,106145269,human
RGPD3,2,106391290,human
CD8B2,2,106487364,human
ST6GAL2,2,106843874,human
ATP6V1C2,2,10722772,human
RGPD4,2,107826892,human
PDIA6,2,10783393,human
SLC5A7,2,107986524,human
SULT1C3,2,108239968,human
SULT1C2,2,108293679,human
SULT1C4,2,108378185,human
GCC2,2,108481697,human
LIMS1,2,108675878,human
RANBP2,2,108719607,human
CCDC138,2,108856928,human
EDAR,2,108894478,human
KCNF1,2,10911934,human
SH3RF3,2,109129205,human
SEPTIN10,2,109585726,human
SOWAHC,2,109614364,human
RGPD5,2,109804072,human
LIMS3,2,109901542,human
MALL,2,110085712,human
NPHP1,2,110178754,human
MTLN,2,110211530,human
LIMS4,2,110465052,human
RGPD6,2,110567968,human
BUB1,2,110674116,human
ACOXL,2,110987198,human
BCL2L11,2,111123752,human
C2ORF50,2,11133129,human
SLC66A3,2,11155609,human
ANAPC1,2,111872690,human
MERTK,2,111898608,human
TMEM87B,2,112095189,human
FBLN7,2,112181883,human
ZC3H8,2,112211529,human
ROCK2,2,11221327,human
ZC3H6,2,112275601,human
RGPD8,2,112417777,human
TTL,2,112482156,human
POLR1B,2,112541915,human
CHCHD5,2,112584595,human
SLC20A1,2,112647718,human
NT5DC4,2,112721486,human
CKAP2L,2,112737867,human
IL1A,2,112773925,human
IL1B,2,112832795,human
IL37,2,112915193,human
IL36G,2,112978006,human
IL36A,2,113005459,human
IL36B,2,113027433,human
IL36RN,2,113062520,human
IL1F10,2,113072318,human
IL1RN,2,113127598,human
PSD4,2,113196280,human
PAX8,2,113241551,human
IGKV1OR2-108,2,113406396,human
CBWD2,2,113437763,human
FOXD4L1,2,113498665,human
RABL2A,2,113627266,human
SLC35F5,2,113741884,human
ACTR3,2,113890598,human
E2F6,2,11447756,human
DPP10,2,115234456,human
GREB1,2,11556353,human
NTSR2,2,11658178,human
LPIN1,2,11724334,human
DDX18,2,117822147,human
CCDC93,2,117920305,human
INSIG2,2,118088471,human
EN1,2,118842171,human
MARCO,2,118942290,human
C1QL2,2,119156243,human
STEAP3,2,119223853,human
C2ORF76,2,119321169,human
DBI,2,119366924,human
TMEM37,2,119431854,human
SCTR,2,119461983,human
CFAP221,2,119638362,human
TMEM177,2,119679167,human
PTPN4,2,119960824,human
EPB41L5,2,120019085,human
TMEM185B,2,120217479,human
RALB,2,120252858,human
INHBB,2,120346136,human
GLI2,2,120797345,human
TFCP2L1,2,121216587,human
CLASP1,2,121461109,human
NIFK,2,121728507,human
TSN,2,121756171,human
CNTNAP5,2,124025287,human
GYPC,2,126656189,human
TEX51,2,126900012,human
BIN1,2,127048038,human
TRIB2,2,12718238,human
CYP27C1,2,127183832,human
ERCC3,2,127289485,human
MAP3K2,2,127298668,human
PROC,2,127423289,human
IWS1,2,127505040,human
MYO7B,2,127620026,human
LIMS2,2,127639197,human
GPR17,2,127649939,human
SFT2D3,2,127701497,human
WDR33,2,127768212,human
POLR2D,2,127847841,human
AMMECR1L,2,127861654,human
SAP130,2,128016388,human
UGGT1,2,128179786,human
HS6ST1,2,128265480,human
RAB6C,2,129979666,human
POTEF,2,130106461,human
CCDC74B,2,130143211,human
SMPD4,2,130172834,human
MZT2B,2,130182313,human
TUBA3E,2,130191745,human
CCDC115,2,130338496,human
IMP4,2,130343270,human
PTPN18,2,130370089,human
POTEI,2,130463908,human
CFC1B,2,130521197,human
CFC1,2,130592168,human
POTEJ,2,130611440,human
GPR148,2,130729070,human
AMER3,2,130756291,human
SMIM39,2,131035092,human
ARHGEF4,2,131041277,human
FAM168B,2,131047876,human
PLEKHB2,2,131118891,human
POTEE,2,131209536,human
RAB6D,2,131360492,human
TUBA3D,2,131476119,human
MZT2A,2,131483960,human
CCDC74A,2,131527834,human
ANKRD30BL,2,132147909,human
GPR39,2,132417043,human
LYPD1,2,132663026,human
NCKAP5,2,133213716,human
MGAT5,2,134254072,human
TMEM163,2,134455759,human
ACMSD,2,134838618,human
CCNT2,2,134947826,human
MAP3K19,2,135005521,human
RAB3GAP1,2,135052308,human
ZRANB3,2,135136917,human
R3HDM1,2,135675398,human
UBXN4,2,135741868,human
LCT,2,135794337,human
MCM6,2,135839626,human
DARS1,2,135943179,human
CXCR4,2,136114349,human
THSD7B,2,136765545,human
HNMT,2,137964479,human
SPOPL,2,138550157,human
NXPH2,2,138669157,human
LRP1B,2,140850131,human
TPO,2,1414408,human
KYNU,2,142927659,human
ARHGAP15,2,143556408,human
GTDC1,2,143938068,human
ZEB2,2,144513423,human
LRATD1,2,14632700,human
ACVR2A,2,147845029,human
ORC4,2,147958303,human
MBD5,2,148490434,human
EPC2,2,148690214,human
KIF5C,2,148978445,human
LYPD6B,2,149204525,human
LYPD6,2,149367712,human
MMADHC,2,149569672,human
RND3,2,150474875,human
RBM43,2,151260985,human
NMI,2,151282039,human
TNFAIP6,2,151357592,human
RIF1,2,151464700,human
NEB,2,151514914,human
ARL5A,2,151803103,human
CACNB4,2,151883256,human
STAM2,2,152116801,human
FMNL2,2,152619578,human
PRPF40A,2,152679056,human
ARL6IP6,2,152719399,human
RPRM,2,153477338,human
GALNT13,2,154438592,human
KCNJ3,2,154698581,human
NBAS,2,15478245,human
DDX1,2,15591906,human
NR4A2,2,156329678,human
GPD2,2,156473592,human
GALNT5,2,157257705,human
ERMN,2,157321782,human
CYTIP,2,157434709,human
ACVR1C,2,157533742,human
ACVR1,2,157799429,human
UPP2,2,158101876,human
CCDC148,2,158338593,human
PKP4,2,158533185,human
DAPL1,2,158795317,human
TANC1,2,158968640,human
WDSUB1,2,159235834,human
MYCN,2,15940566,human
BAZ2B,2,159448316,human
MARCHF7,2,159712457,human
CD302,2,159768630,human
LY75-CD302,2,159771851,human
LY75,2,159803355,human
PLA2R1,2,159945815,human
ITGB6,2,160099667,human
RBMS1,2,160303408,human
TANK,2,161231186,human
PSMD14,2,161308600,human
TBR1,2,161417895,human
SLC4A10,2,161624335,human
DPP4,2,162038988,human
GCG,2,162143905,human
FAP,2,162219857,human
IFIH1,2,162310147,human
GCA,2,162356438,human
KCNH7,2,162423270,human
FIGN,2,163602611,human
GRB14,2,164525042,human
COBLL1,2,164743454,human
SLC38A11,2,164898669,human
SCN3A,2,165164393,human
SCN2A,2,165344555,human
CSRNP3,2,165469647,human
CYRIA,2,16564024,human
GALNT3,2,165770666,human
TTC21B,2,165892301,human
SCN1A,2,166073611,human
SCN9A,2,166306510,human
SCN7A,2,166477463,human
XIRP2,2,167135901,human
B3GALT1,2,167293001,human
PXDN,2,1677030,human
STK39,2,167954022,human
CERS6,2,168456249,human
NOSTRIN,2,168798151,human
SPC25,2,168877238,human
G6PC2,2,168901325,human
ABCB11,2,168932465,human
DHRS9,2,169081107,human
LRP2,2,169240750,human
BBS5,2,169479502,human
KLHL41,2,169509702,human
FASTKD1,2,169560530,human
PPIG,2,169630850,human
CCDC173,2,169674937,human
PHOSPHO2,2,169694487,human
KLHL23,2,169741493,human
SSB,2,169799279,human
METTL5,2,169812470,human
UBR3,2,170008840,human
MYO3B,2,170199208,human
SP5,2,170715337,human
ERICH2,2,170783786,human
GAD1,2,170816562,human
GORASP2,2,170929321,human
TLK1,2,171053782,human
METTL8,2,171339541,human
DCAF17,2,171472870,human
CYBRD1,2,171523079,human
DYNC1I2,2,171690145,human
SLC25A12,2,171837149,human
HAT1,2,171922461,human
METAP1D,2,171999953,human
DLX1,2,172085536,human
DLX2,2,172100557,human
ITGA6,2,172487962,human
PDK1,2,172556565,human
RAPGEF4,2,172860038,human
MAP3K20,2,173075435,human
CDCA7,2,173354888,human
SP3,2,173908558,human
OLA1,2,174223057,human
SP9,2,174334954,human
CIR1,2,174358173,human
SCRN3,2,174398195,human
GPR155,2,174435144,human
WIPF1,2,174575263,human
CHRNA1,2,174752755,human
CHN1,2,174846914,human
ATF2,2,175072254,human
RAD51AP2,2,17510579,human
ATP5MC3,2,175178145,human
VSNL1,2,17541160,human
LNPK,2,175923897,human
EVX2,2,176077472,human
HOXD13,2,176092721,human
HOXD12,2,176099802,human
HOXD11,2,176107280,human
HOXD10,2,176116778,human
HOXD9,2,176122719,human
HOXD8,2,176130357,human
HOXD4,2,176151550,human
HOXD3,2,176164077,human
HOXD1,2,176188668,human
MTX2,2,176269502,human
HNRNPA3,2,177216526,human
NFE2L2,2,177232499,human
AGPS,2,177393276,human
SMC6,2,17741679,human
GEN1,2,17754138,human
TTC30B,2,177548998,human
TTC30A,2,177612999,human
PDE11A,2,177898114,human
RBM45,2,178125725,human
MSGN1,2,17816460,human
OSBPL6,2,178194481,human
PRKRA,2,178431976,human
PJVK,2,178458534,human
FKBP7,2,178467807,human
PLEKHA3,2,178495619,human
KCNS3,2,17879383,human
TTN,2,178802287,human
CCDC141,2,178873021,human
SESTD1,2,179174406,human
ZNF385B,2,179769662,human
CWC22,2,179945621,human
UBE2E3,2,180980385,human
ITGA4,2,181457428,human
CERKL,2,181544728,human
NEUROD1,2,181677506,human
ITPRID2,2,181920606,human
PPP1R1C,2,181985853,human
PDE1A,2,182167887,human
DNAJC10,2,182729848,human
FRZB,2,182833275,human
NCKAP1,2,182924877,human
DUSP19,2,183078747,human
NUP35,2,183124458,human
ZNF804A,2,184598529,human
RDH14,2,18554723,human
NT5C1B-RDH14,2,18555545,human
FSIP2,2,185794618,human
NT5C1B,2,18584851,human
ZC3H15,2,186506713,human
ITGAV,2,186668877,human
FAM171B,2,186694060,human
ZSWIM2,2,186844753,human
CALCRL,2,187383244,human
TFPI,2,187497016,human
GULP1,2,188570083,human
COL3A1,2,188991674,human
COL5A2,2,189031915,human
WDR75,2,189441493,human
SLC40A1,2,189579848,human
ASNSD1,2,189661463,human
ASDURF,2,189661521,human
ANKAR,2,189676427,human
OSGEPL1,2,189755173,human
ORMDL1,2,189775565,human
PMS1,2,189784085,human
MSTN,2,190055700,human
C2ORF88,2,190180955,human
HIBCH,2,190252166,human
INPP1,2,190343589,human
MFSD6,2,190435895,human
NEMP2,2,190519117,human
NAB1,2,190659830,human
GLS,2,190930449,human
STAT1,2,191009027,human
STAT4,2,191148128,human
MYO1B,2,191411065,human
NABP1,2,191678990,human
CAVIN2,2,191834310,human
TMEFF2,2,192176743,human
OSR1,2,19351485,human
SLC39A10,2,195657449,human
DNAH7,2,196028008,human
STK17B,2,196163364,human
HECW2,2,196343697,human
CCDC150,2,196713146,human
GTF3C3,2,196792955,human
C2ORF66,2,196804417,human
PGAP1,2,196885846,human
ANKRD44,2,197125995,human
MYT1L,2,1973304,human
SF3B1,2,197420181,human
COQ10B,2,197453794,human
HSPD1,2,197494157,human
HSPE1,2,197500379,human
HSPE1-MOB4,2,197500413,human
MOB4,2,197516160,human
RFTN2,2,197644247,human
MARS2,2,197705369,human
BOLL,2,197726879,human
PLCL1,2,198083749,human
TTC32,2,19897869,human
SATB2,2,199269500,human
WDR35,2,19935032,human
FTCDNL1,2,199818361,human
C2ORF69,2,199911293,human
MATN3,2,19993037,human
TYW5,2,199931899,human
MAIP1,2,199955821,human
SPATS2L,2,200308950,human
LAPTM4A,2,20032650,human
KCTD18,2,200488958,human
SGO2,2,200526167,human
AOX1,2,200662907,human
BZW1,2,200818326,human
CLK1,2,200853196,human
PPIL3,2,200881421,human
NIF3L1,2,200897074,human
ORC2,2,200957422,human
FAM126B,2,200973718,human
NDUFB3,2,201072052,human
CFLAR,2,201132984,human
CASP10,2,201183195,human
CASP8,2,201233463,human
FLACC1,2,201350749,human
TRAK2,2,201420417,human
STRADB,2,201478150,human
C2CD6,2,201535004,human
TMEM237,2,201629730,human
MPP4,2,201685935,human
ALS2,2,201761675,human
CDK15,2,201806621,human
FZD7,2,202033855,human
SDC1,2,20204152,human
KIAA2012,2,202073255,human
SUMO1,2,202207142,human
NOP58,2,202284438,human
BMPR2,2,202377434,human
FAM117B,2,202634969,human
ICA1L,2,202773150,human
WDR12,2,202874261,human
CARF,2,202912292,human
PUM2,2,20318593,human
NBEAL1,2,203208635,human
CYP20A1,2,203239035,human
ABI2,2,203391044,human
RAPH1,2,203490046,human
CD28,2,203706475,human
CTLA4,2,203867943,human
ICOS,2,203936780,human
RHOB,2,20447074,human
PARD3B,2,204965152,human
NRP2,2,205683291,human
INO80D,2,206062906,human
NDUFS1,2,206147782,human
EEF1B2,2,206159934,human
CMKLR2,2,206177191,human
ZDBF2,2,206292063,human
HS1BP3,2,20641135,human
ADAM23,2,206594835,human
FAM237A,2,206642487,human
GDF7,2,20667144,human
DYTN,2,206694816,human
MDH1B,2,206739593,human
FASTKD2,2,206765606,human
LDAH,2,20684014,human
CPO,2,206939518,human
KLF7,2,207074137,human
CREB1,2,207575286,human
METTL21A,2,207609115,human
CCNYL1,2,207742274,human
FZD5,2,207762598,human
PLEKHM3,2,207900041,human
CRYGD,2,208121607,human
CRYGC,2,208128137,human
CRYGB,2,208142573,human
CRYGA,2,208160740,human
C2ORF80,2,208182972,human
IDH1,2,208248597,human
PIKFYVE,2,208266363,human
PTH2R,2,208489086,human
MAP2,2,209424047,human
UNC80,2,209771993,human
RPE,2,210002565,human
KANSL1L,2,210104020,human
ACADL,2,210187923,human
APOB,2,21024170,human
MYL1,2,210290150,human
LANCL1,2,210455259,human
CPS1,2,210593355,human
TDRD15,2,21137468,human
ERBB4,2,211375717,human
IKZF2,2,212999691,human
SPAG16,2,213489963,human
VWC2L,2,214411065,human
BARD1,2,214728677,human
ABCA12,2,215075492,human
ATIC,2,215336022,human
FN1,2,215414661,human
MREG,2,215942805,human
PECR,2,216038388,human
TMEM169,2,216081866,human
XRCC5,2,216109348,human
MARCHF4,2,216257865,human
SMARCAL1,2,216428776,human
RPL37A,2,216499140,human
IGFBP2,2,216660733,human
IGFBP5,2,216678853,human
TNP1,2,216859458,human
TNS1,2,217990942,human
RUFY4,2,218070496,human
CXCR2,2,218130850,human
CXCR1,2,218162841,human
ARPC2,2,218245426,human
GPBAR1,2,218261034,human
AAMP,2,218266087,human
TMBIM1,2,218282118,human
PNKD,2,218323268,human
CATIP,2,218356857,human
SLC11A1,2,218382273,human
CTDSP1,2,218400678,human
VIL1,2,218432515,human
USP37,2,218528271,human
CNOT9,2,218592316,human
PLCD4,2,218635855,human
ZNF142,2,218656350,human
BCS1L,2,218662197,human
RNF25,2,218665154,human
STK36,2,218696529,human
TTLL4,2,218751754,human
CYP27A1,2,218805914,human
PRKAG3,2,218830299,human
WNT6,2,218859805,human
WNT10A,2,218882161,human
CDK5R2,2,218959666,human
FEV,2,218981087,human
CRYBA2,2,218990912,human
CFAP65,2,219035484,human
IHH,2,219054424,human
NHEJ1,2,219146707,human
SLC23A3,2,219168652,human
CNPPD1,2,219173051,human
RETREG2,2,219181678,human
ZFAND2B,2,219208458,human
ABCB6,2,219215029,human
ATG9A,2,219225506,human
ANKZF1,2,219229959,human
GLB1L,2,219243547,human
STK16,2,219245896,human
TUBA4A,2,219251587,human
TUBA4B,2,219253243,human
DNAJB2,2,219279517,human
PTPRN,2,219302768,human
RESP18,2,219327409,human
DNPEP,2,219386687,human
DES,2,219418377,human
SPEG,2,219461385,human
SPEGNB,2,219496131,human
GMPPA,2,219505725,human
ASIC4,2,219514482,human
CHPF,2,219541460,human
TMEM198,2,219544050,human
OBSL1,2,219561747,human
INHA,2,219572310,human
STK11IP,2,219613916,human
SLC4A3,2,219633346,human
EPHA4,2,221418027,human
PAX3,2,222293635,human
SGPP2,2,222424543,human
FARSB,2,222566899,human
MOGAT1,2,222671658,human
ACSL3,2,222909616,human
KCNE4,2,223052190,human
SCG2,2,223598906,human
AP1S3,2,223765310,human
WDFY1,2,223894290,human
MRPL44,2,223957463,human
SERPINE2,2,224001774,human
FAM124B,2,224399525,human
CUL3,2,224470150,human
CCDC195,2,224703764,human
DOCK10,2,224983415,human
NYAP2,2,225400886,human
IRS1,2,226731312,human
RHBDD1,2,226906712,human
COL4A4,2,227144362,human
COL4A3,2,227307772,human
MFF,2,227340292,human
TM4SF20,2,227379226,human
SCYGR1,2,227387683,human
AGFG1,2,227536955,human
SCYGR9,2,227587237,human
SCYGR2,2,227598893,human
SCYGR10,2,227608784,human
SCYGR3,2,227614538,human
SCYGR4,2,227616998,human
SCYGR5,2,227666804,human
SLC19A3,2,227699553,human
SCYGR6,2,227724440,human
SCYGR7,2,227728335,human
SCYGR8,2,227745845,human
CCL20,2,227813842,human
DAW1,2,227871642,human
SPHKAP,2,227979957,human
PID1,2,229026036,human
DNER,2,229357629,human
TRIP12,2,229859376,human
FBXO36,2,229922506,human
SLC16A14,2,230059299,human
SP110,2,230212396,human
SP140,2,230225764,human
SP140L,2,230342070,human
SP100,2,230416156,human
CAB39,2,230713548,human
ITM2C,2,230878218,human
GPR55,2,230907328,human
SPATA3,2,231002771,human
C2ORF72,2,231037523,human
PSMD1,2,231066906,human
HTR2B,2,231108230,human
ARMC9,2,231270982,human
B3GNT7,2,231395710,human
NCL,2,231455191,human
NMUR1,2,231523187,human
TEX44,2,231592864,human
PTMA,2,231710491,human
PDE6D,2,231737187,human
COPS7B,2,231796187,human
NPPC,2,231925385,human
DIS3L2,2,232335785,human
ALPP,2,232378751,human
ALPG,2,232406844,human
ALPI,2,232456153,human
ECEL1,2,232480153,human
PRSS56,2,232520388,human
CHRND,2,232526191,human
CHRNG,2,232539748,human
TIGD1,2,232543883,human
EIF4E2,2,232574074,human
EFHD1,2,232662733,human
KCNJ13,2,232768481,human
GIGYF2,2,232788464,human
SNORC,2,232870284,human
NGEF,2,232970043,human
NEU2,2,233032672,human
INPP5D,2,233204642,human
ATG16L1,2,233251714,human
SAG,2,233307974,human
DGKD,2,233438313,human
USP40,2,233560743,human
UGT1A8,2,233617633,human
UGT1A10,2,233636502,human
UGT1A9,2,233671898,human
UGT1A7,2,233682368,human
UGT1A6,2,233693692,human
UGT1A5,2,233712907,human
UGT1A4,2,233718821,human
UGT1A3,2,233729042,human
UGT1A1,2,233760288,human
MROH2A,2,233778330,human
HJURP,2,233842116,human
TRPM8,2,233981808,human
SPP2,2,234050787,human
ARL4C,2,234493041,human
SH3BP4,2,234994840,human
AGAP1,2,235709177,human
GBX2,2,236165729,human
ASB18,2,236214754,human
IQCA1,2,236324147,human
KLHL29,2,23642392,human
ACKR3,2,236569825,human
COPS8,2,237094139,human
COL6A3,2,237377118,human
MLPH,2,237540865,human
PRLH,2,237566574,human
RAB17,2,237576584,human
LRRFIP1,2,237692339,human
RBM44,2,237799178,human
RAMP1,2,237859976,human
UBE2F-SCLY,2,237967075,human
UBE2F,2,237973095,human
SCLY,2,238083246,human
ESPNL,2,238127395,human
KLHL30,2,238138668,human
ERFE,2,238165593,human
ILKAP,2,238183723,human
HES6,2,238239216,human
PER2,2,238275863,human
TRAF3IP1,2,238320536,human
ASB1,2,238427029,human
ATAD2B,2,23869670,human
TWIST2,2,238848085,human
HDAC4,2,239176453,human
UBXN2A,2,23940463,human
NDUFA10,2,240018407,human
OR6B2,2,240029491,human
OR6B3,2,240045077,human
COPS9,2,240133983,human
OTOS,2,240139026,human
MFSD2B,2,24024153,human
WDCP,2,24038973,human
GPC1,2,240463397,human
FKBP1B,2,24053911,human
ANKMY1,2,240554979,human
DUSP28,2,240560792,human
RNPEPL1,2,240575502,human
CAPN10,2,240598024,human
GPR35,2,240627433,human
SF3B6,2,24067586,human
AQP12B,2,240679272,human
AQP12A,2,240691866,human
KIF1A,2,240797647,human
TP53I3,2,24080746,human
AGXT,2,240868824,human
MAB21L4,2,240895643,human
CROCC2,2,240906336,human
SNED1,2,241063378,human
MTERF4,2,241087099,human
PASK,2,241138775,human
PPP1R7,2,241169798,human
ANO7,2,241188509,human
PFN4,2,24122507,human
HDLBP,2,241227267,human
FAM228B,2,24124362,human
SEPTIN2,2,241315861,human
FARP2,2,241493393,human
STK25,2,241494707,human
BOK,2,241558745,human
THAP4,2,241584427,human
ATG4B,2,241637612,human
DTYMK,2,241676178,human
ING5,2,241702061,human
D2HGDH,2,241748830,human
GAL3ST2,2,241776822,human
NEU4,2,241814017,human
FAM228A,2,24183542,human
PDCD1,2,241851233,human
RTP5,2,241869729,human
FAM240C,2,241894037,human
ITSN2,2,24310344,human
NCOA1,2,24491254,human
PTRHD1,2,24789728,human
CENPO,2,24793462,human
ADCY3,2,24918652,human
DNAJC27,2,24947359,human
SH3YL1,2,249805,human
EFR3B,2,25121673,human
POMC,2,25161146,human
DNMT3A,2,25281452,human
DTNB,2,25607287,human
ASXL2,2,25768762,human
KIF3C,2,25928753,human
RAB10,2,26034084,human
GAREM2,2,26180716,human
HADHA,2,26191250,human
HADHB,2,26261021,human
ADGRF3,2,26316974,human
SELENOI,2,26346149,human
DRC1,2,26402004,human
OTOF,2,26472332,human
ACP1,2,264965,human
FAM166C,2,26576126,human
CIB4,2,26581205,human
KCNK3,2,26692722,human
SLC35F6,2,26764325,human
CENPA,2,26786102,human
DPYSL5,2,26848424,human
MAPRE3,2,27014799,human
TMEM214,2,27038710,human
AGBL5,2,27059266,human
OST4,2,27070487,human
EMILIN1,2,27083595,human
KHK,2,27086794,human
CGREF1,2,27101226,human
ABHD1,2,27123840,human
PREB,2,27131440,human
PRR30,2,27136915,human
TCF23,2,27149004,human
SLC5A6,2,27207570,human
ATRAID,2,27212866,human
CAD,2,27241921,human
SLC30A3,2,27258040,human
DNAJC5G,2,27275475,human
TRIM54,2,27282462,human
UCN,2,27307400,human
MPV17,2,27315716,human
GTF3C2,2,27325849,human
EIF2B4,2,27368413,human
SNX17,2,27370665,human
ZNF513,2,27378731,human
PPM1G,2,27381199,human
NRBP1,2,27431677,human
KRTCAP3,2,27443452,human
IFT172,2,27472066,human
FNDC4,2,27491883,human
GCKR,2,27506510,human
C2ORF16,2,27537386,human
ZNF512,2,27583042,human
CCDC121,2,27627860,human
GPN1,2,27629050,human
SUPT7L,2,27653070,human
SLC4A1AP,2,27664467,human
MRPL33,2,27771739,human
RBKS,2,27858501,human
BABAM2,2,27894620,human
ALKAL2,2,279929,human
FOSL2,2,28395511,human
PLB1,2,28496071,human
PPP1CB,2,28751748,human
SPDYA,2,28829150,human
TRMT61B,2,28849840,human
WDR43,2,28905006,human
TOGARAM2,2,29018261,human
PCARE,2,29061695,human
CLIP4,2,29130741,human
ALK,2,29192777,human
YPEL5,2,30147516,human
LBH,2,30232180,human
LCLAT1,2,30447403,human
CAPN13,2,30764248,human
GALNT14,2,30945842,human
CAPN14,2,31173056,human
EHD3,2,31234152,human
XDH,2,31334321,human
SRD5A2,2,31522480,human
MEMO1,2,32010187,human
DPY30,2,32024102,human
SPAST,2,32114797,human
SLC30A6,2,32165882,human
NLRC4,2,32224469,human
YIPF4,2,32301443,human
BIRC6,2,32436075,human
EIPR1,2,3257351,human
TTC27,2,32777882,human
LTBP1,2,33134597,human
RASGRP3,2,33527203,human
FAM98A,2,33583686,human
TRAPPC12,2,3477715,human
ADI1,2,3498661,human
RNASEH1,2,3550374,human
RPS7,2,3575358,human
COLEC11,2,3601906,human
CRIM1,2,36513690,human
FEZ2,2,36552263,human
ALLC,2,3658200,human
VIT,2,36696690,human
STRN,2,36849406,human
HEATR5B,2,36980895,human
DCDC2C,2,3703575,human
GPATCH11,2,37084518,human
EIF2AK2,2,37107273,human
SULT6B1,2,37188477,human
CEBPZOS,2,37196523,human
CEBPZ,2,37228608,human
NDUFAF7,2,37247456,human
PRKD3,2,37286232,human
QPCT,2,37368281,human
CDC42EP3,2,37646546,human
RMDN2,2,37950453,human
CYP1B1,2,38074959,human
ATL2,2,38296483,human
HNRNPLL,2,38563186,human
GALM,2,38681295,human
SRSF7,2,38743599,human
GEMIN6,2,38778210,human
FAM110C,2,38814,human
DHX57,2,38861786,human
MORN2,2,38876068,human
ARHGEF33,2,38960505,human
SOS1,2,39056733,human
CDKL4,2,39204527,human
MAP4K3,2,39356165,human
TMEM178A,2,39665967,human
THUMPD2,2,39761332,human
SLC8A1,2,40115253,human
PKDCC,2,42048044,human
EML4,2,42169461,human
COX7A2L,2,42349338,human
KCNG3,2,42442032,human
MTA3,2,42569384,human
OXER1,2,42762481,human
HAAO,2,42769711,human
ZFP36L2,2,43222402,human
THADA,2,43562218,human
C1GALT1C1L,2,43675151,human
PLEKHH2,2,43745899,human
DYNC2LI1,2,43776823,human
ABCG5,2,43812472,human
ABCG8,2,43838971,human
LRPPRC,2,43958986,human
PPM1B,2,44201186,human
SLC3A1,2,44275458,human
PREPL,2,44317611,human
CAMKMT,2,44704285,human
SIX3,2,44941702,human
SIX2,2,45005182,human
SRBD1,2,45388680,human
PRKCE,2,46000902,human
EPAS1,2,46297407,human
TMEM247,2,46479565,human
ATP6V1E2,2,46511847,human
RHOQ,2,46543767,human
PIGF,2,46615018,human
CRIPT,2,46617215,human
SOCS5,2,46759747,human
MCFD2,2,46901870,human
TTC7A,2,47005932,human
STPG4,2,47086991,human
CALM2,2,47162286,human
EPCAM,2,47369495,human
MSH2,2,47476509,human
KCNK12,2,47509290,human
MSH6,2,47784181,human
FBXO11,2,47835915,human
FOXN2,2,48314682,human
PPP1R21,2,48440769,human
STON1-GTF2A1L,2,48580607,human
STON1,2,48582296,human
GTF2A1L,2,48617798,human
LHCGR,2,48720040,human
FSHR,2,48983116,human
NRXN1,2,50922521,human
ASB3,2,53670319,human
CHAC2,2,53767804,human
ERLEC1,2,53787122,human
GPR75,2,53852912,human
PSME4,2,53864434,human
ACYP2,2,54123179,human
TSPYL6,2,54253178,human
C2ORF73,2,54330965,human
SPTBN1,2,54456317,human
EML6,2,54952594,human
RTN4,2,55027207,human
CLHC1,2,55222360,human
RPS27A,2,55232688,human
MTIF2,2,55263837,human
CCDC88A,2,55403387,human
CFAP36,2,55519731,human
PPP4R3B,2,55547292,human
PNPT1,2,55684994,human
EFEMP1,2,55922360,human
CCDC85A,2,56183990,human
SOX11,2,5692384,human
VRK2,2,58046642,human
FANCL,2,58213505,human
BCL11A,2,60544230,human
PAPOLG,2,60781975,human
REL,2,60894397,human
PUS10,2,61009848,human
